WEEK_START,SESSIONS_WITH_NEW_SUB,MATCHED_TO_SUB_PERIOD,MATCHED_TO_LTV_ASSUMPTION,SUM_LTV_1_YR_GM,DISTINCT_PLAN_TYPES_OBSERVED,PLAN_TYPES_OBSERVED
2025-12-22,110,110,110,18375.3759370571956,4,"business, creator, pro, pro-plus"
2025-12-29,87,87,87,13475.3648009096759,4,"business, creator, pro, pro-plus"
2026-01-05,116,116,115,18428.2444097380682,5,"business, creator, enterprise, pro, pro-plus"
2026-01-12,112,112,112,22036.1300036196148,4,"business, creator, pro, pro-plus"
2026-01-19,121,121,121,19372.5947651944911,4,"business, creator, pro, pro-plus"
2026-01-26,116,116,116,19125.7184539650424,4,"business, creator, pro, pro-plus"
2026-02-02,125,125,125,21712.3942369963095,3,"business, creator, pro"
2026-02-09,117,117,117,19255.1364728048686,4,"business, creator, pro, pro-plus"
2026-02-16,122,122,121,21264.6962895106201,5,"business, creator, enterprise, pro, pro-plus"
2026-02-23,143,143,143,22782.4596948485901,4,"business, creator, pro, pro-plus"
2026-03-02,118,118,118,20072.2448408595260,4,"business, creator, pro, pro-plus"
2026-03-09,106,106,106,18094.8168422834764,4,"business, creator, pro, pro-plus"
2026-03-16,133,133,133,22827.4804970410217,4,"business, creator, pro, pro-plus"
2026-03-23,151,151,151,25091.7750212881770,4,"business, creator, pro, pro-plus"
2026-03-30,178,178,178,28753.1009022473513,4,"business, creator, pro, pro-plus"
2026-04-06,138,138,137,22778.9057744633287,5,"business, creator, enterprise, pro, pro-plus"
